Manufacturer,Pathway (Primary or TLAAS),Model Year,Fleet,Region,Fleet Std,Fleet Avg,Volume,Credits (Mg),Credit Type
Aston Martin,AC,2009,PV,,,,,673,A/C Efficiency
Aston Martin,AC,2009,PV,,,,,874,A/C Leakage
BMW,4,2009,PV,NC,,,95270,62528,A/C Efficiency
BMW,4,2009,PV,NC,,,95270,74511,A/C Leakage
BMW,4,2009,PV,NC,323,306,95270,316248,Fleet Average
BMW,4,2009,LT,NC,,,16978,16106,A/C Efficiency
BMW,4,2009,LT,NC,,,16978,26142,A/C Leakage
BMW,4,2009,LT,NC,381,394,16978,-49852,Fleet Average
Fiat Chrysler,1,2009,PV,US,,,171522,68074,A/C Efficiency
Fiat Chrysler,1,2009,PV,US,,,287364,306794,A/C Leakage
Fiat Chrysler,1,2009,PV,US,323,319,287364,224447,Fleet Average
Fiat Chrysler,1,2009,LT,US,,,435791,86828,A/C Efficiency
Fiat Chrysler,1,2009,LT,US,,,528286,825947,A/C Leakage
Fiat Chrysler,1,2009,LT,US,439,402,528286,4414889,Fleet Average
Ford,1,2009,PV,US,,,421306,314543,A/C Leakage
Ford,1,2009,PV,US,323,299,508727,2384066,Fleet Average
Ford,1,2009,LT,US,,,553174,869984,A/C Leakage
Ford,1,2009,LT,US,439,397,504921,4789847,Fleet Average
GM,1,2009,PV,US,,,838289,113142,A/C Efficiency
GM,1,2009,PV,US,,,954239,792488,A/C Leakage
GM,1,2009,PV,US,323,295,1048593,5733069,Fleet Average
GM,1,2009,LT,US,,,87771,12683,A/C Efficiency
GM,1,2009,LT,US,,,729189,1393043,A/C Leakage
GM,1,2009,LT,US,439,413,844892,4961620,Fleet Average
GM,1,2009,LT,US,,,8671,3329,Off-Cycle
Honda,3,2009,PV,CA,,,193638,65125,A/C Efficiency
Honda,3,2009,PV,NC,,,272880,91525,A/C Efficiency
Honda,3,2009,PV,CA,,,380244,139317,A/C Leakage
Honda,3,2009,PV,NC,,,422198,107454,A/C Leakage
Honda,3,2009,PV,CA,323,266,388318,4321998,Fleet Average
Honda,3,2009,PV,NC,323,257,433183,5582613,Fleet Average
Honda,3,2009,LT,CA,,,61086,51662,A/C Efficiency
Honda,3,2009,LT,NC,,,79249,67024,A/C Efficiency
Honda,3,2009,LT,CA,,,89079,31417,A/C Leakage
Honda,3,2009,LT,NC,,,232149,145067,A/C Leakage
Honda,3,2009,LT,CA,439,373,89079,1327909,Fleet Average
Honda,3,2009,LT,NC,381,339,232149,2202242,Fleet Average
Hyundai,3,2009,PV,CA,323,267,121778,1331616,Fleet Average
Hyundai,3,2009,PV,NC,323,265,216105,2447457,Fleet Average
Hyundai,3,2009,LT,CA,439,360,25472,454505,Fleet Average
Hyundai,3,2009,LT,NC,381,356,65943,372355,Fleet Average
Kia,1,2009,PV,US,323,264,175028,2016423,Fleet Average
Kia,1,2009,LT,US,439,371,72815,1118352,Fleet Average
Mazda,3,2009,PV,CA,323,281,40884,335293,Fleet Average
Mazda,3,2009,PV,NC,323,280,61283,514554,Fleet Average
Mazda,3,2009,LT,CA,439,379,10612,143813,Fleet Average
Mazda,3,2009,LT,NC,381,329,35084,412061,Fleet Average
Mercedes,AC,2009,PV,NC,,,53062,30018,A/C Efficiency
Mercedes,AC,2009,PV,NC,,,57812,31408,A/C Leakage
Mercedes,AC,2009,LT,NC,,,20035,16744,A/C Efficiency
Mercedes,AC,2009,LT,NC,,,20035,18297,A/C Leakage
Mitsubishi,3,2009,PV,CA,323,290,23293,150093,Fleet Average
Mitsubishi,3,2009,PV,NC,323,294,60347,341724,Fleet Average
Mitsubishi,3,2009,LT,CA,439,342,872,19105,Fleet Average
Mitsubishi,3,2009,LT,NC,381,322,8573,114244,Fleet Average
Nissan,1,2009,PV,US,,,605439,225310,A/C Efficiency
Nissan,1,2009,PV,US,,,143263,20466,A/C Leakage
Nissan,1,2009,PV,US,323,268,605439,6502124,Fleet Average
Nissan,1,2009,LT,US,,,234883,94333,A/C Efficiency
Nissan,1,2009,LT,US,,,220896,100005,A/C Leakage
Nissan,1,2009,LT,US,439,372,234883,3554474,Fleet Average
Subaru,1,2009,PV,US,323,308,156871,459469,Fleet Average
Subaru,1,2009,LT,US,439,322,43945,1161300,Fleet Average
