MANUFACTURER,YEAR,FLEET,STD,CAFE,VOLUME,SOURCE,CREDITS
ASTONMARTIN,2008,IP,19,19,1370,3,0
BMW,2008,IP,27.5,27.4,291796,3,-291796
BMW,2008,LT,22.5,22.9,61324,3,245296
CHRYSLER,2008,DP,27.5,29.3,522670,3,9408060
CHRYSLER,2008,LT,22.5,23.6,1132886,3,12461746
CHRYSLER,2008,IP,27.5,26.5,1648,3,-16480
DAIMLER,2008,LT,22.3,20.8,79135,3,-1187025
DAIMLER,2008,IP,27.5,26.9,208195,3,-1249170
FERRARI,2008,IP,27.5,16.4,1450,3,-160950
FIAT(ALFAROMEO),2008,IP,27.5,17.8,84,3,-8148
FORD,2008,DP,27.5,30.1,699957,3,18198882
FORD,2008,LT,22.5,23.6,1266265,3,13928915
FORD,2008,IP,27.5,31.1,202811,3,7301196
GM,2008,DP,27.5,29.6,1264194,3,26548074
GM,2008,LT,22,23.2,1744266,3,20931192
GM,2008,IP,27.5,31.5,107717,3,4308680
HONDA,2008,DP,27.5,36,428859,3,36453015
HONDA,2008,IP,27.5,33.5,471781,3,28306860
HONDA,2008,LT,22.5,25.5,612281,3,18368430
HYUNDAI,2008,IP,27.5,34.2,270293,3,18109631
HYUNDAI,2008,LT,22.5,25.6,112517,3,3488027
JAGUARLANDROVER,2008,LT,22.5,19.3,55584,3,-1778688
JAGUARLANDROVER,2008,IP,27.5,24.8,9596,3,-259092
KIA,2008,IP,27.5,33.6,169304,3,10327544
KIA,2008,LT,22.5,24.2,120365,3,2046205
LOTUS,2008,IP,27.5,29.9,252,3,6048
MASERATI,2008,IP,27.5,18.6,2661,3,-236829
MITSUBISHI,2008,LT,22.5,24.7,24028,3,528616
MITSUBISHI,2008,IP,27.5,30,76700,3,1917500
NISSAN,2008,IP,27.5,29.2,213713,3,3633121
NISSAN,2008,DP,27.5,33.9,454610,3,29095040
NISSAN,2008,LT,22.5,23.1,355092,3,2130552
PORSCHE,2008,IP,27.5,26.4,18909,3,-207999
PORSCHE,2008,LT,22.5,20,18797,3,-469925
SPYKER,2008,IP,19.6,19.6,6,3,0
SUBARU,2008,DP,27.5,29,26288,3,394320
SUBARU,2008,IP,27.5,28.9,89746,3,1256444
SUBARU,2008,LT,22.5,27.3,82546,3,3962208
SUZUKI,2008,IP,27.5,31.6,68720,3,2817520
SUZUKI,2008,LT,22.5,23.7,42551,3,510612
TESLA,2008,DP,27.5,244,143,3,309595
TOYOTA,2008,DP,27.5,34,481617,3,31305105
TOYOTA,2008,IP,27.5,38.3,662079,3,71504532
TOYOTA,2008,LT,22.5,23.9,1067804,3,14949256
VW,2008,IP,27.5,29.1,291483,3,4663728
VW,2008,LT,22.4,20.2,26999,3,-593978
ASTONMARTIN,2009,IP,18.6,18.6,1323,3,0
BMW,2009,IP,27.5,29,186819,3,2802285
BMW,2009,LT,23.1,22.7,33767,3,-135068
CHRYSLER,2009,DP,27.5,28.1,219880,3,1319280
CHRYSLER,2009,LT,23.1,23.9,595770,3,4766160
